,Departamento Entidad,Ciudad Entidad
4772,ANTIOQUIA,CHIGORODÓ
4789,ATLÁNTICO,GALAPA
4844,BOYACÁ,EL COCUY
4864,ATLÁNTICO,MALAMBO
4882,CUNDINAMARCA,GUATAVITA
4889,BOLÍVAR,ALTOS DEL ROSARIO
4903,SANTANDER,SABANA DE TORRES
4905,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL
4922,CUNDINAMARCA,LA PALMA
4955,SUCRE,SAMPUÉS
4973,HUILA,HOBO
4988,CUNDINAMARCA,NILO
4996,BOLÍVAR,NO DEFINIDO
5033,RISARALDA,BELÉN DE UMBRÍA
5079,SANTANDER,GIRÓN
5092,BOLÍVAR,SAN CRISTÓBAL
5137,HUILA,TERUEL
5147,GUAINÍA,INÍRIDA
5149,TOLIMA,MARIQUITA
5174,CESAR,PELAYA
5214,MAGDALENA,REMOLINO
5230,SUCRE,OVEJAS
5262,NARIÑO,ANCUYÁ
5316,ANTIOQUIA,ANORÍ
5328,BOYACÁ,AQUITANIA
5348,BOYACÁ,GÜICÁN
5397,HUILA,GIGANTE
5423,CAUCA,JAMBALÓ
5431,NARIÑO,COLÓN
5464,CESAR,PUEBLO BELLO
5494,NARIÑO,PROVIDENCIA
5517,SANTANDER,ARATOCA
5536,ANTIOQUIA,VEGACHÍ
5552,BOYACÁ,BOAVITA
5568,CAUCA,LA VEGA
5570,BOYACÁ,SAN PABLO DE BORBUR
5588,CAUCA,NO DEFINIDO
5621,CAUCA,CAJIBÍO
5636,BOYACÁ,PESCA
5649,BOLÍVAR,PINILLOS
5733,SUCRE,PALMITO
5734,NARIÑO,GUAITARILLA
5753,ANTIOQUIA,DABEIBA
5770,CÓRDOBA,MONTELÍBANO
5878,ANTIOQUIA,CARAMANTA
5918,LA GUAJIRA,DISTRACCIÓN
5928,SUCRE,BUENAVISTA
5931,CÓRDOBA,CANALETE
5943,NARIÑO,PUPIALES
5955,HUILA,SAN AGUSTÍN
5995,BOYACÁ,BELÉN
6046,MAGDALENA,ALGARROBO
6056,SUCRE,TOLÚ VIEJO
6064,NARIÑO,PUERRES
6085,ATLÁNTICO,LURUACO
6100,CAUCA,PUERTO TEJADA
6103,CAUCA,GUACHENÉ
6111,BOLÍVAR,MARÍA LA BAJA
6137,CUNDINAMARCA,SUESCA
6199,SANTANDER,LANDÁZURI
6209,HUILA,ACEVEDO
6269,VALLE DEL CAUCA,RESTREPO
6310,SANTANDER,PUERTO PARRA
6320,SUCRE,GALERAS
6385,VALLE DEL CAUCA,LA UNIÓN
6404,PUTUMAYO,SAN MIGUEL
6454,CUNDINAMARCA,CARMEN DE CARUPA
6479,ANTIOQUIA,COCORNÁ
6489,HUILA,GUADALUPE
6564,ANTIOQUIA,SANTA ROSA DE OSOS
6596,BOLÍVAR,MOMPÓS
6603,SANTANDER,JESÚS MARÍA
6610,BOYACÁ,GARAGOA
6677,BOYACÁ,SANTANA
6699,HUILA,TESALIA
6728,ANTIOQUIA,HISPANIA
6747,SANTANDER,SUAITA
6805,CÓRDOBA,PUEBLO NUEVO
6816,SANTANDER,LEBRÍJA
6854,CAQUETÁ,MILÁN
6866,SANTANDER,OIBA
6878,HUILA,SUAZA
6950,CÓRDOBA,VALENCIA
6966,SUCRE,COVEÑAS
6992,CÓRDOBA,CHINÚ
7011,SUCRE,SAN ONOFRE
7031,BOYACÁ,TOCA
7032,SANTANDER,EL PLAYÓN
7060,TOLIMA,VILLARRICA
7091,CÓRDOBA,LA APARTADA
7093,ANTIOQUIA,GÓMEZ PLATA
7099,CÓRDOBA,SAN ANDRÉS SOTAVENTO
7103,CASANARE,PAZ DE ARIPORO
7152,CUNDINAMARCA,ÚTICA
7208,ANTIOQUIA,TÁMESIS
7258,BOYACÁ,TINJACÁ
7281,CUNDINAMARCA,TAUSA
7296,CESAR,PAILITAS
7299,BOYACÁ,MOTAVITA
7467,BOYACÁ,TURMEQUÉ
7562,CAUCA,SANTANDER DE QUILICHAO
7594,SANTANDER,JORDÁN
7621,CUNDINAMARCA,TENA
7715,NARIÑO,SANTACRUZ
7736,HUILA,NÁTAGA
7747,CÓRDOBA,COTORRA
7808,QUINDÍO,SALENTO
7810,CALDAS,BELALCÁZAR
7945,CAUCA,TIMBÍO
7962,CÓRDOBA,SAN BERNARDO DEL VIENTO
7990,CÓRDOBA,PLANETA RICA
8059,SANTANDER,SIMACOTA
8086,TOLIMA,GUAMO
8148,ANTIOQUIA,BETULIA
8190,CALDAS,VICTORIA
8203,SANTANDER,ALBANIA
8204,CUNDINAMARCA,GACHETÁ
8224,CESAR,EL COPEY
8262,BOYACÁ,ARCABUCO
8271,BOYACÁ,PACHAVITA
8337,CALDAS,SAMANÁ
8343,CAUCA,ALMAGUER
8383,NARIÑO,SAN LORENZO
8493,NORTE DE SANTANDER,SAN CALIXTO
8517,CALDAS,PÁCORA
8712,META,PUERTO GAITÁN
8729,SANTANDER,PALMAS DEL SOCORRO
8817,BOYACÁ,SOCOTÁ
8820,BOYACÁ,MARIPÍ
8892,BOYACÁ,SUTATENZA
8895,VALLE DEL CAUCA,SAN PEDRO
8903,SANTANDER,TONA
8932,VICHADA,LA PRIMAVERA
9053,SUCRE,COLOSO
9078,MAGDALENA,EL PIÑON
9184,NORTE DE SANTANDER,TOLEDO
9194,ATLÁNTICO,CANDELARIA
9258,ANTIOQUIA,AMAGÁ
9297,TOLIMA,CHAPARRAL
9304,BOYACÁ,NOBSA
9346,CAQUETÁ,PUERTO RICO
9367,ANTIOQUIA,ANGOSTURA
9371,SANTANDER,MACARAVITA
9376,ANTIOQUIA,SONSON
9409,BOLÍVAR,ACHÍ
9445,ANTIOQUIA,SABANALARGA
9464,CUNDINAMARCA,CAPARRAPÍ
9496,BOYACÁ,SANTA MARÍA
9524,NARIÑO,ARBOLEDA
9532,TOLIMA,SUÁREZ
9540,BOYACÁ,FLORESTA
9563,ANTIOQUIA,CISNEROS
9583,BOLÍVAR,TURBANÁ
9597,NARIÑO,POTOSÍ
9615,VALLE DEL CAUCA,BOLÍVAR
9664,TOLIMA,PRADO
9692,ARAUCA,CRAVO NORTE
9701,SANTANDER,AGUADA
9707,NARIÑO,EL TAMBO
9710,META,RESTREPO
9767,BOYACÁ,VENTAQUEMADA
9833,CUNDINAMARCA,EL ROSAL
9861,MAGDALENA,SALAMINA
10031,ANTIOQUIA,PEÑOL
10048,NARIÑO,ROBERTO PAYÁN
10091,BOYACÁ,CHINAVITA
10157,QUINDÍO,GÉNOVA
10165,CUNDINAMARCA,JUNÍN
10182,NORTE DE SANTANDER,SARDINATA
10197,SANTANDER,SANTA BÁRBARA
10226,TOLIMA,VALLE DE SAN JUAN
10344,ANTIOQUIA,SANTO DOMINGO
10389,SANTANDER,SAN JOSÉ DE MIRANDA
10426,BOLÍVAR,RÍO VIEJO
10532,CAUCA,ROSAS
10558,NORTE DE SANTANDER,EL CARMEN
10579,ANTIOQUIA,MUTATÁ
10668,CUNDINAMARCA,NIMAIMA
10861,BOYACÁ,FIRAVITOBA
10912,BOLÍVAR,EL GUAMO
10946,VALLE DEL CAUCA,ULLOA
10949,RISARALDA,SANTUARIO
11031,BOYACÁ,CUBARÁ
11100,BOYACÁ,COPER
11123,NORTE DE SANTANDER,PUERTO SANTANDER
11152,SUCRE,LOS PALMITOS
11257,TOLIMA,ALPUJARRA
11280,CUNDINAMARCA,GUASCA
11310,SANTANDER,PUERTO WILCHES
11352,BOYACÁ,BERBEO
11410,CASANARE,NUNCHÍA
11420,RISARALDA,LA CELIA
11438,CAUCA,SILVIA
11447,HUILA,PITAL
11574,SANTANDER,EL PEÑÓN
11615,BOLÍVAR,SANTA ROSA
11637,BOYACÁ,TÓPAGA
11659,NARIÑO,SAPUYES
11816,ANTIOQUIA,MACEO
11855,ANTIOQUIA,BRICEÑO
12040,CAUCA,MORALES
12070,SANTANDER,COROMORO
12080,ANTIOQUIA,GIRALDO
12152,MAGDALENA,CONCORDIA
12175,CUNDINAMARCA,VIANÍ
12442,NARIÑO,EL PEÑOL
12456,BOYACÁ,MONGUÍ
12491,VALLE DEL CAUCA,EL ÁGUILA
12607,SANTANDER,CHIMA
12608,BOYACÁ,TOGÜÍ
12839,SANTANDER,CHARALÁ
12864,CAQUETÁ,CURILLO
12918,HUILA,TELLO
12927,ANTIOQUIA,FRONTINO
12936,CESAR,CURUMANÍ
12942,CASANARE,SABANALARGA
13083,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA
13089,CUNDINAMARCA,BELTRÁN
13113,BOYACÁ,BRICEÑO
13258,NARIÑO,LA TOLA
13352,BOYACÁ,SAN MIGUEL DE SEMA
13457,SANTANDER,FLORIÁN
13536,ATLÁNTICO,SUAN
13551,CÓRDOBA,SAN ANTERO
13609,BOYACÁ,SORACÁ
13702,ANTIOQUIA,AMALFI
14055,SANTANDER,CURITÍ
14082,ANTIOQUIA,CÁCERES
14084,TOLIMA,ALVARADO
14155,SANTANDER,OCAMONTE
14157,CÓRDOBA,PUERTO LIBERTADOR
14290,HUILA,ALTAMIRA
14462,CÓRDOBA,BUENAVISTA
14694,BOYACÁ,TIPACOQUE
14785,ANTIOQUIA,MONTEBELLO
14820,BOYACÁ,SOCHA
14908,BOYACÁ,SAN EDUARDO
14934,CUNDINAMARCA,CHOACHÍ
15044,BOYACÁ,TUTA
15053,SANTANDER,VILLANUEVA
15161,BOYACÁ,BUENAVISTA
15197,SANTANDER,CABRERA
15223,NARIÑO,MOSQUERA
15328,BOYACÁ,OTANCHE
15395,ANTIOQUIA,HELICONIA
15400,NARIÑO,CONSACA
15477,SUCRE,MORROA
15535,BOYACÁ,CUCAITA
15589,TOLIMA,MURILLO
15744,CAUCA,CALDONO
15876,SANTANDER,BETULIA
15959,VALLE DEL CAUCA,ARGELIA
16193,CUNDINAMARCA,EL PEÑÓN
16345,BOYACÁ,NUEVO COLÓN
16433,BOYACÁ,GAMEZA
16503,VALLE DEL CAUCA,GUACARÍ
16563,CESAR,ASTREA
16606,ANTIOQUIA,ARMENIA
16635,ARAUCA,FORTUL
16932,CASANARE,SAN LUIS DE PALENQUE
16942,NARIÑO,EL ROSARIO
17022,NARIÑO,CUASPUD
17091,TOLIMA,RIOBLANCO
17212,CALDAS,MARMATO
17326,CÓRDOBA,MOÑITOS
17407,BOYACÁ,TUNUNGUÁ
17508,SANTANDER,GUAVATÁ
17787,NORTE DE SANTANDER,CONVENCIÓN
17800,ANTIOQUIA,ITUANGO
17816,CAUCA,PADILLA
17832,HUILA,YAGUARÁ
18310,CUNDINAMARCA,LENGUAZAQUE
18340,BOYACÁ,SAN JOSÉ DE PARE
18485,SANTANDER,CHIPATÁ
18539,CALDAS,FILADELFIA
18611,CASANARE,MONTERREY
18628,CUNDINAMARCA,NEMOCÓN
18669,META,EL DORADO
18789,NARIÑO,TANGUA
18862,BOYACÁ,CIÉNEGA
19091,BOLÍVAR,ARROYOHONDO
19093,SANTANDER,CERRITO
19699,BOYACÁ,JENESANO
19859,NARIÑO,SANTA BÁRBARA
19884,CUNDINAMARCA,AGUA DE DIOS
19898,SANTANDER,CALIFORNIA
19927,NORTE DE SANTANDER,EL TARRA
20006,CÓRDOBA,SAN CARLOS
20063,NORTE DE SANTANDER,CUCUTILLA
20065,BOYACÁ,CALDAS
20117,CASANARE,TRINIDAD
20138,MAGDALENA,CERRO SAN ANTONIO
20143,ANTIOQUIA,GRANADA
20155,CAQUETÁ,SOLITA
20158,CALDAS,PALESTINA
20160,BOYACÁ,SABOYÁ
20274,BOLÍVAR,CANTAGALLO
20565,RISARALDA,QUINCHÍA
20698,ARAUCA,SARAVENA
20967,TOLIMA,VENADILLO
21058,CUNDINAMARCA,COGUA
21161,CASANARE,MANÍ
21223,CASANARE,VILLANUEVA
21306,SUCRE,SAN PEDRO
21334,BOYACÁ,SOTAQUIRÁ
21359,BOYACÁ,PISBA
21575,ANTIOQUIA,NARIÑO
21603,SUCRE,SINCÉ
21786,SANTANDER,PINCHOTE
21967,NORTE DE SANTANDER,VILLA CARO
22017,ARAUCA,ARAUQUITA
22154,CAQUETÁ,ALBANIA
22292,ANTIOQUIA,SAN JUAN DE URABÁ
22492,ANTIOQUIA,YALÍ
23085,SANTANDER,ONZAGA
23137,SUCRE,SAN BENITO ABAD
23296,BOYACÁ,CORRALES
23350,BOYACÁ,OICATÁ
23534,MAGDALENA,PEDRAZA
23598,CUNDINAMARCA,GACHANCIPÁ
23823,CAUCA,TOTORÓ
23837,SANTANDER,BOLÍVAR
23915,CHOCÓ,CONDOTO
23979,SUCRE,SUCRE
24045,BOYACÁ,TASCO
24327,TOLIMA,NATAGAIMA
24714,NORTE DE SANTANDER,ARBOLEDAS
24735,BOYACÁ,CHISCAS
24740,VALLE DEL CAUCA,YOTOCO
24850,SANTANDER,SAN MIGUEL
24904,BOYACÁ,CHITA
25059,BOYACÁ,PANQUEBA
25144,HUILA,ELÍAS
25588,NARIÑO,TÚQUERRES
25612,NARIÑO,BELÉN
25883,CAUCA,MIRANDA
26148,BOYACÁ,ZETAQUIRA
26181,ANTIOQUIA,CAICEDO
26214,ANTIOQUIA,ANZA
26323,SANTANDER,SUCRE
26597,CALDAS,NORCASIA
26693,SANTANDER,VALLE DE SAN JOSÉ
26712,CAUCA,INZÁ
27038,CUNDINAMARCA,ALBÁN
27341,SANTANDER,ENCINO
27395,HUILA,SANTA MARÍA
27812,BOLÍVAR,VILLANUEVA
27964,ATLÁNTICO,CAMPO DE LA CRUZ
28025,BOYACÁ,GUAYATÁ
28144,TOLIMA,HERVEO
28725,ANTIOQUIA,EBÉJICO
28770,BOYACÁ,GACHANTIVÁ
28861,BOYACÁ,IZA
29183,BOLÍVAR,SAN JACINTO DEL CAUCA
29321,CASANARE,TÁMARA
29897,CUNDINAMARCA,QUEBRADANEGRA
29972,BOYACÁ,MACANAL
30215,CAUCA,GUAPI
30266,NORTE DE SANTANDER,BOCHALEMA
30582,ANTIOQUIA,LIBORINA
30659,CUNDINAMARCA,GUTIÉRREZ
30852,BOYACÁ,SANTA ROSA DE VITERBO
30857,SANTANDER,EL GUACAMAYO
30912,CUNDINAMARCA,SUBACHOQUE
30915,ANTIOQUIA,ZARAGOZA
31154,CASANARE,CHAMEZA
31321,ANTIOQUIA,CIUDAD BOLÍVAR
31711,CUNDINAMARCA,CABRERA
31860,BOYACÁ,TUTAZÁ
32026,BOYACÁ,SOMONDOCO
32695,NORTE DE SANTANDER,LABATECA
32949,TOLIMA,PIEDRAS
32986,HUILA,VILLAVIEJA
33058,CAUCA,SUÁREZ
33444,BOYACÁ,LA CAPILLA
33528,BOYACÁ,PAYA
33938,BOLÍVAR,SAN PABLO
34016,ANTIOQUIA,BETANIA
34338,ATLÁNTICO,PIOJÓ
35059,SUCRE,EL ROBLE
35084,CAQUETÁ,SAN JOSÉ DEL FRAGUA
35526,BOYACÁ,BOYACÁ
35672,CASANARE,PORE
35742,SUCRE,SANTIAGO DE TOLÚ
35876,NARIÑO,TAMINANGO
36278,SANTANDER,PÁRAMO
36547,ATLÁNTICO,REPELÓN
36858,META,FUENTE DE ORO
37102,BOLÍVAR,MORALES
37484,CHOCÓ,CARMEN DEL DARIEN
37564,SANTANDER,PALMAR
37879,TOLIMA,COELLO
38039,SANTANDER,CONCEPCIÓN
38384,VALLE DEL CAUCA,GINEBRA
38386,HUILA,COLOMBIA
38659,PUTUMAYO,COLÓN
38660,BOYACÁ,SAN MATEO
38978,ANTIOQUIA,CAÑASGORDAS
39134,SANTANDER,CAPITANEJO
39159,CAUCA,ARGELIA
39297,BOYACÁ,SUTAMARCHÁN
40846,BOYACÁ,BETÉITIVA
41395,META,LEJANÍAS
42181,ANTIOQUIA,PEQUE
42387,BOYACÁ,SIACHOQUE
42641,CUNDINAMARCA,APULO
42934,ANTIOQUIA,CARACOLÍ
43278,ATLÁNTICO,TUBARÁ
43598,CUNDINAMARCA,QUIPILE
43601,CUNDINAMARCA,PASCA
43883,CAUCA,LA SIERRA
44502,CUNDINAMARCA,LA PEÑA
45344,NORTE DE SANTANDER,SAN CAYETANO
45393,BOYACÁ,PAUNA
45753,BOYACÁ,GUACAMAYAS
46840,SANTANDER,GAMBITA
47021,SANTANDER,GUAPOTÁ
47737,NORTE DE SANTANDER,CACHIRÁ
48524,BOYACÁ,RÁQUIRA
50409,NORTE DE SANTANDER,LA ESPERANZA
51560,BOLÍVAR,CLEMENCIA
51831,BOYACÁ,SORA
52051,CÓRDOBA,PURÍSIMA
52217,CALDAS,MARULANDA
52646,CAUCA,SAN SEBASTIÁN
53040,CUNDINAMARCA,YACOPÍ
53429,CAUCA,SOTARA
53477,BOYACÁ,CHIVATÁ
54356,CUNDINAMARCA,MANTA
54940,SUCRE,CHALÁN
55723,ARAUCA,PUERTO RONDÓN
56092,CÓRDOBA,LOS CÓRDOBAS
56710,SANTANDER,VETAS
56883,CUNDINAMARCA,TIBACUY
57012,CUNDINAMARCA,MACHETA
58667,BOLÍVAR,SAN FERNANDO
58824,BOYACÁ,CHITARAQUE
59206,SANTANDER,CARCASÍ
59292,ANTIOQUIA,VALDIVIA
59354,BOYACÁ,PAZ DE RÍO
59717,VALLE DEL CAUCA,VERSALLES
60708,ANTIOQUIA,ALEJANDRÍA
61129,META,LA MACARENA
62292,CUNDINAMARCA,GAMA
62336,BOYACÁ,PÁEZ
62729,CASANARE,HATO COROZAL
63217,CHOCÓ,BAHÍA SOLANO
63731,META,PUERTO LLERAS
64816,CAUCA,PURACÉ
65046,VALLE DEL CAUCA,RIOFRÍO
66673,BOLÍVAR,HATILLO DE LOBA
66891,SANTANDER,SAN BENITO
67674,ATLÁNTICO,PALMAR DE VARELA
69152,SANTANDER,CEPITÁ
69955,ANTIOQUIA,TITIRIBÍ
70805,ANTIOQUIA,VIGÍA DEL FUERTE
71011,ANTIOQUIA,NECHÍ
71655,SANTANDER,GÜEPSA
72063,LA GUAJIRA,EL MOLINO
73022,ANTIOQUIA,SAN VICENTE
73436,BOLÍVAR,SOPLAVIENTO
73467,TOLIMA,CASABIANCA
76653,META,MESETAS
76853,BOYACÁ,LA VICTORIA
77467,ANTIOQUIA,MURINDÓ
77835,SANTANDER,CHARTA
77845,CUNDINAMARCA,PAIME
78440,SANTANDER,EL CARMEN DE CHUCURÍ
80111,ANTIOQUIA,GUADALUPE
80181,BOYACÁ,BUSBANZÁ
80711,VALLE DEL CAUCA,ALCALÁ
80774,VALLE DEL CAUCA,EL CAIRO
80868,CAQUETÁ,MORELIA
83246,CUNDINAMARCA,ZIPACÓN
83315,CUNDINAMARCA,JERUSALÉN
83531,NORTE DE SANTANDER,RAGONVALIA
85385,ANTIOQUIA,CONCEPCIÓN
87288,ATLÁNTICO,USIACURÍ
87565,BOLÍVAR,CICUCO
88306,BOYACÁ,CUÍTIVA
88853,META,PUERTO CONCORDIA
89115,ANTIOQUIA,BELMIRA
89403,CUNDINAMARCA,VIOTÁ
89735,CUNDINAMARCA,SUPATÁ
90050,VALLE DEL CAUCA,OTRO
90534,BOYACÁ,EL ESPINO
90881,CAUCA,SANTA ROSA
91220,CUNDINAMARCA,QUETAME
91689,NORTE DE SANTANDER,OTRO
92731,CUNDINAMARCA,TIBIRITA
93412,NORTE DE SANTANDER,TEORAMA
96671,BOYACÁ,SATIVASUR
97672,CAUCA,OTRO
98196,BOYACÁ,TENZA
100500,BOYACÁ,CAMPOHERMOSO
103808,CAUCA,SUCRE
104206,BOYACÁ,SATIVANORTE
105679,CUNDINAMARCA,UBALÁ
105718,CUNDINAMARCA,OTRO
107152,NORTE DE SANTANDER,HERRÁN
110992,CUNDINAMARCA,GUATAQUÍ
116116,ANTIOQUIA,VALPARAÍSO
117502,GUAVIARE,NO DEFINIDO
117821,META,OTRO
122043,ANTIOQUIA,SAN ANDRÉS
122838,BOYACÁ,VIRACACHÁ
125817,CÓRDOBA,OTRO
128551,ANTIOQUIA,OTRO
129097,CHOCÓ,ISTMINA
131471,NORTE DE SANTANDER,BUCARASICA
132789,CUNDINAMARCA,GRANADA
135783,BOYACÁ,COVARACHÍA
137062,RISARALDA,OTRO
137344,TOLIMA,COYAIMA
141180,CASANARE,OTRO
142673,BOYACÁ,RONDÓN
143978,BOLÍVAR,NOROSÍ
148421,BOLÍVAR,OTRO
